,player_name,position,team_display,opponent,prop_type,sportsbook,line,price,model_prediction,sigma,p_win_pct,edge_pct,roi_pct,kelly_pct,stake,recommendation
168,David Montgomery,RB,DET,DEN,Rushing Yards,Bovada,51.5,-120,82.42405489689098,32.53747405023814,82.90489088472609,28.35943633927155,51.99229995533117,2,20,BET
169,J.J. McCarthy,QB,"MIN [proj=MIN, odds=GB]",NE,Rushing Yards,DraftKings,17.5,-107,44.06809166543984,32.53747405023814,79.29038179766697,27.59956054162832,53.393542356234235,2,20,BET
170,Drake Maye,QB,"NE [proj=NE, odds=CIN]",MIN,Rushing Yards,FanDuel,19.5,-114,47.24226960173979,32.53747405023814,80.30664022425088,27.03561218686772,50.751061473593786,2,20,BET
171,J.J. McCarthy,QB,"MIN [proj=MIN, odds=GB]",NE,Rushing Yards,BetRivers,16.5,-114,44.06809166543984,32.53747405023814,80.15782432994263,26.886796292559456,50.471705321120375,2,20,BET
172,J.J. McCarthy,QB,"MIN [proj=MIN, odds=GB]",NE,Rushing Yards,FanDuel,16.5,-114,44.06809166543984,32.53747405023814,80.15782432994263,26.886796292559456,50.471705321120375,2,20,BET
173,J.J. McCarthy,QB,"MIN [proj=MIN, odds=GB]",NE,Rushing Yards,BetOnline.ag,17.5,-114,44.06809166543984,32.53747405023814,79.29038179766697,26.019353760283792,48.84334828684851,2,20,BET
174,Drake Maye,QB,"NE [proj=NE, odds=CIN]",MIN,Rushing Yards,DraftKings,20.5,-115,47.24226960173979,32.53747405023814,79.44306416510733,25.95469207208406,48.523989526070196,2,20,BET
175,J.J. McCarthy,QB,"MIN [proj=MIN, odds=GB]",NE,Rushing Yards,BetMGM,17.5,-115,44.06809166543984,32.53747405023814,79.29038179766697,25.8020097046437,48.23853988259474,2,20,BET
176,Drake Maye,QB,"NE [proj=NE, odds=CIN]",MIN,Rushing Yards,BetOnline.ag,21.5,-114,47.24226960173979,32.53747405023814,78.55739823294732,25.286370195564146,47.46739668290112,2,20,BET
177,Drake Maye,QB,"NE [proj=NE, odds=CIN]",MIN,Rushing Yards,BetMGM,21.5,-115,47.24226960173979,32.53747405023814,78.55739823294732,25.069026139924055,46.86817930507541,2,20,BET
178,Devin Singletary,RB,"NYG [proj=NYG, odds=DET]",NO,Rushing Yards,BetMGM,22.5,-120,47.69572359263979,32.53747405023814,78.06410815666115,23.51865361120661,43.117531620545456,2,20,BET
179,Chase Brown,RB,CIN,CHI,Rushing Yards,FanDuel,53.5,-114,75.99008524823422,32.53747405023814,75.5281836825179,22.25715564513473,41.78097638648097,2,20,BET
180,Chase Brown,RB,CIN,CHI,Rushing Yards,BetOnline.ag,54.5,-112,75.99008524823422,32.53747405023814,74.5524457077489,21.722257028503623,41.11712937538186,2,20,BET
181,Tony Pollard,RB,"TB [proj=TB, odds=TEN]",SF,Rushing Yards,BetMGM,33.5,-115,53.33187101762874,32.53747405023814,72.89063206898075,19.40225997595748,36.27379038983356,2,20,BET
182,Tony Pollard,RB,"TB [proj=TB, odds=TEN]",SF,Rushing Yards,BetRivers,34.5,-115,53.33187101762874,32.53747405023814,71.86294417009648,18.374572077073225,34.35246083974559,2,20,BET
183,Chase Brown,RB,CIN,CHI,Rushing Yards,DraftKings,58.5,-113,75.99008524823422,32.53747405023814,70.45515167770482,17.403508485216555,32.80484342788608,2,20,BET
184,Tony Pollard,RB,"TB [proj=TB, odds=TEN]",SF,Rushing Yards,BetOnline.ag,35.5,-116,53.33187101762874,32.53747405023814,70.81681372488056,17.113110021176848,31.865791073915517,2,20,BET
185,Tony Pollard,RB,"TB [proj=TB, odds=TEN]",SF,Rushing Yards,DraftKings,35.5,-116,53.33187101762874,32.53747405023814,70.81681372488056,17.113110021176848,31.865791073915517,2,20,BET
186,Chase Brown,RB,CIN,CHI,Rushing Yards,BetMGM,59.5,-110,75.99008524823422,32.53747405023814,69.38534289838694,17.004390517434555,32.462927351465986,2,20,BET
187,Tony Pollard,RB,"TB [proj=TB, odds=TEN]",SF,Rushing Yards,FanDuel,36.5,-114,53.33187101762874,32.53747405023814,69.7529150876256,16.481887050242428,30.939682708349814,2,20,BET
188,Aaron Jones,QB,"ATL [proj=ATL, odds=GB]",BAL,Rushing Yards,DraftKings,52.5,-109,45.42845363813982,32.53747405023814,41.39734685128508,-10.755763196561807,-20.62343585395797,0,0,PASS
189,Aaron Jones,QB,"ATL [proj=ATL, odds=GB]",BAL,Rushing Yards,BetMGM,52.5,-110,45.42845363813982,32.53747405023814,41.39734685128508,-10.983605529667306,-20.96870146572849,0,0,PASS
190,Travis Etienne,RB,"JAX [proj=JAX, odds=ARI]",KC,Rushing Yards,BetMGM,60.5,-115,54.17733688502819,32.53747405023814,42.296288989168104,-11.192083103855154,-20.924329281120503,0,0,PASS
191,Aaron Jones,QB,"ATL [proj=ATL, odds=GB]",BAL,Rushing Yards,BetOnline.ag,52.5,-112,45.42845363813982,32.53747405023814,41.39734685128508,-11.432841827960205,-21.640736317210397,0,0,PASS
192,Aaron Jones,QB,"ATL [proj=ATL, odds=GB]",BAL,Rushing Yards,FanDuel,52.5,-114,45.42845363813982,32.53747405023814,41.39734685128508,-11.873681186098095,-22.289190998464846,0,0,PASS
193,Aaron Jones,QB,"ATL [proj=ATL, odds=GB]",BAL,Rushing Yards,BetRivers,52.5,-115,45.42845363813982,32.53747405023814,41.39734685128508,-12.091025241738185,-22.604960234553996,0,0,PASS
194,J.J. McCarthy,QB,"MIN [proj=MIN, odds=GB]",NE,Passing Yards,BetRivers,186.5,-115,170.481072767315,51.1443218301945,37.70604553402626,-15.782326558997006,-29.50608878421179,0,0,PASS
195,J.J. McCarthy,QB,"MIN [proj=MIN, odds=GB]",NE,Passing Yards,DraftKings,187.5,-112,170.481072767315,51.1443218301945,36.96566740726786,-15.864521271977427,-30.02927240767156,0,0,PASS
196,Jahmyr Gibbs,RB,DET,DEN,Rushing Yards,FanDuel,73.5,-114,62.300720032688616,32.53747405023814,36.53493116788461,-16.736096869498564,-31.416883597128887,0,0,PASS
197,Jahmyr Gibbs,RB,DET,DEN,Rushing Yards,DraftKings,74.5,-110,62.300720032688616,32.53747405023814,35.385620841965014,-16.99533153898737,-32.44563293806678,0,0,PASS
198,J.J. McCarthy,QB,"MIN [proj=MIN, odds=GB]",NE,Passing Yards,FanDuel,188.5,-114,170.481072767315,51.1443218301945,36.23009064915412,-17.04093738822905,-31.989128079658048,0,0,PASS
