name,position,team,age_2024,2023_rush_yds,2023_rec_yds,2024_proj_rush,2024_proj_rec,2024_proj_total,rush_change,rec_change
Ko Kieft,TE,TAM,26,0,2,0,6,6,0,4
Dalton Kincaid,TE,BUF,25,0,673,0,767,767,0,94
Mason Kinsey,WR,TEN,26,0,6,0,9,9,0,3
Keith Kirkwood,WR,NOR,30,0,37,0,52,52,0,15
Dawson Knox,TE,BUF,28,0,186,0,215,215,0,29
Charlie Kolar,TE,BAL,25,0,87,0,82,82,0,-5
Tucker Kraft,TE,GNB,24,0,355,0,319,319,0,-36
Lucas Krull,TE,DEN,26,0,95,0,105,105,0,10
Kwamie Lassiter II,WR,CIN,26,0,2,0,10,10,0,8
Allen Lazard,WR,NYJ,29,0,311,0,284,284,0,-27
Marcedes Lewis,TE,CHI,40,0,29,0,34,34,0,5
Isaiah Likely,TE,BAL,24,0,411,0,306,306,0,-105
Tyler Lockett,WR,SEA,32,0,894,0,875,875,0,-19
Drake London,WR,ATL,23,0,905,0,860,860,0,-45
Will Mallory,TE,IND,25,0,207,0,188,188,0,-19
Chris Manhertz,TE,DEN,32,0,16,0,27,27,0,11
Terrace Marshall Jr.,WR,CAR,24,0,139,0,213,213,0,74
Michael Mayer,TE,LVR,23,0,304,0,284,284,0,-20
Trey McBride,TE,ARI,25,0,825,0,859,859,0,34
Anthony McFarland Jr.,RB,PIT,26,0,11,0,14,14,0,3
Sean McKeon,TE,DAL,27,0,0,0,0,0,0,0
Terry McLaurin,WR,WAS,29,0,1002,0,990,990,0,-12
D.K. Metcalf,WR,SEA,27,0,1114,0,816,816,0,-298
Scott Miller,WR,ATL,27,0,161,0,102,102,0,-59
Jordan Mims,RB,NOR,25,0,0,0,0,0,0,0
Jonathan Mingo,WR,CAR,23,0,418,0,597,597,0,179
James Mitchell,TE,DET,25,0,28,0,28,28,0,0
D.J. Montgomery,WR,IND,28,0,56,0,30,30,0,-26
David Moore,WR,TAM,29,0,94,0,64,64,0,-30
Foster Moreau,TE,NOR,27,0,193,0,217,217,0,24
Quintin Morris,TE,BUF,25,0,26,0,28,28,0,2
Johnny Mundt,TE,MIN,30,0,172,0,176,176,0,4
Nick Muse,TE,MIN,26,0,22,0,7,7,0,-15
Luke Musgrave,TE,GNB,24,0,352,0,357,357,0,5
Jalen Nailor,WR,MIN,25,0,29,0,30,30,0,1
David Njoku,TE,CLE,28,0,882,0,873,873,0,-9
Andrew Ogletree,TE,IND,26,0,147,0,116,116,0,-31
Albert Okwuegbunam,TE,PHI,26,0,0,0,0,0,0,0
Chris Olave,WR,NOR,24,0,1123,0,992,992,0,-131
